P,item_order,item_material,item_id,max_length,min_length
2,order1,MNH-0215S,5009,1233,232
2,order1,MNH-0215S,7492,1859,232
2,order1,MNH-0215S,6515,2241,352
2,order1,MNH-0218S,5325,388,38
2,order1,MNH-0218S,6315,352,58
2,order1,MNH-0218S,7901,352,58
2,order1,MNH-0218S,4958,237.5,232
2,order1,MNH-0218S,5214,237.5,232
2,order1,MNH-0218S,6742,237.5,232
2,order1,MNH-0218S,5035,277.5,250
2,order1,MNH-0218S,5480,257.5,250
2,order1,MNH-0218S,5645,257.5,250
2,order1,MNH-0218S,7154,277.5,250
2,order1,MNH-0218S,5561,1859,256.5
2,order1,MNH-0218S,6374,1233,256.5
2,order1,MNH-0218S,5094,351,258
2,order1,MNH-0218S,5851,351,258
2,order1,MNH-0218S,6047,351,258
2,order1,MNH-0218S,7033,351,258
2,order1,MNH-0218S,7589,351,258
2,order1,MNH-0218S,4708,352,277
2,order1,MNH-0218S,6715,352,277
2,order1,MNH-0218S,7519,1897,277.5
2,order1,MNH-0218S,7936,1271,277.5
2,order1,MNH-0218S,8166,2378,278
2,order1,MNH-0218S,4830,2378,293
3,order10,LMW-0215S,26417,988,160
3,order10,LMW-0215S,25375,2201,344
3,order10,LMW-0215S,28785,988,461.5
3,order10,LMW-0218S,25189,2338,38
3,order10,LMW-0218S,26169,1388,38
3,order10,LMW-0218S,26518,2338,38
3,order10,LMW-0218S,27915,344,58
3,order10,LMW-0218S,28952,344,58
3,order10,LMW-0218S,27418,718,343
3,order10,LMW-0218S,28028,718,343
3,order10,LMW-0218S,29076,718,343
3,order10,LMW-0218S,28438,739,344
3,order10,LMW-0218S,25655,1352,737
3,order10,LMW-0218S,27774,988,739
3,order10,LMW-0218S,29138,2278.5,739
3,order10,LMW-0218S,25636,2298,740
3,order10,LMW-0218S,28612,2298,740
3,order10,YSH-0218S,25715,2234,368
3,order10,YSH-0218S,26423,503.5,494.5
3,order10,YSH-0218S,27671,503.5,494.5
2,order100,GDMY-0218S,5251,901,308
2,order100,GDMY-0218S,6740,833,308
2,order100,GDMY-0218S,7995,833,308
2,order100,GDMY-0218S,8231,901,308
2,order100,MNH-0215S,6861,627,178
2,order100,MNH-0215S,5607,627,298
2,order100,MNH-0215S,5538,627,332
2,order100,MNH-0215S,7227,866,627
2,order100,MNH-0218S,6131,626,253
2,order100,MNH-0218S,6726,627,253
2,order100,MNH-0218S,7476,626,253
2,order100,MNH-0218S,6549,626,338
2,order100,MNH-0218S,7052,626,338
2,order100,MNH-0218S,8269,626,338
2,order100,MNH-0218S,5988,627,357
2,order100,MNH-0218S,7232,627,357
2,order100,MNH-0218S,7582,627,357
2,order100,MNH-0218S,6442,627,377
2,order100,MNH-0218S,4677,2221,378
2,order100,MNH-0218S,5769,2221,378
4,order101,GDMY-0218S,4749,915.5,289.5
4,order101,GDMY-0218S,7703,915.5,289.5
4,order101,GDMY-0218S,8363,915.5,289.5
4,order101,GDMY-0218S,8482,915.5,289.5
4,order101,MNH-0215S,5967,2320,80
4,order101,MNH-0215S,8175,2320,80
4,order101,MNH-0215S,5149,2221,590
4,order101,MNH-0215S,8223,2221,590
4,order101,MNH-0218S,4931,590,58
4,order101,MNH-0218S,6476,590,58
4,order101,MNH-0218S,6488,590,58
4,order101,MNH-0218S,8582,590,58
4,order101,MNH-0218S,4750,590,228
4,order101,MNH-0218S,4944,590,228
4,order101,MNH-0218S,5351,590,228
4,order101,MNH-0218S,5510,590,228
4,order101,MNH-0218S,6346,590,228
4,order101,MNH-0218S,6730,590,228
4,order101,MNH-0218S,6853,590,228
4,order101,MNH-0218S,7143,590,228
4,order101,MNH-0218S,7312,590,228
4,order101,MNH-0218S,7530,590,228
4,order101,MNH-0218S,7565,590,228
4,order101,MNH-0218S,8406,590,228
4,order101,MNH-0218S,5818,590,267
4,order101,MNH-0218S,6261,590,267
4,order101,MNH-0218S,8335,590,267
4,order101,MNH-0218S,8645,590,267
4,order101,MNH-0218S,5106,2318,268
4,order101,MNH-0218S,6121,2318,268
4,order101,MNH-0218S,6349,2318,268
4,order101,MNH-0218S,6556,2318,268
1,order102,NJYH-0218S,25530,644,298
1,order102,NJYH-0218S,26110,643,298
1,order102,NJYH-0218S,27689,643,298
1,order102,NJYH-0218S,26156,795.5,336
1,order102,NJYH-0218S,27080,795.5,336
1,order102,NJYH-0218S,26684,643,408
1,order102,NJYH-0218S,26781,980,428
1,order102,NJYH-0218S,27896,980,428
1,order102,NJYH-0218S,25730,682,448
4,order103,NJYH-0215S,26341,2192.5,728
4,order103,NJYH-0215S,26677,2115,749
4,order103,NJYH-0218S,26343,1567,38
4,order103,NJYH-0218S,29317,2252,38
4,order103,NJYH-0218S,26209,749,58
4,order103,NJYH-0218S,29094,749,58
4,order103,NJYH-0218S,25141,378,357.5
4,order103,NJYH-0218S,25683,378,357.5
4,order103,NJYH-0218S,27202,728,585
4,order103,NJYH-0218S,28621,728,604
4,order103,NJYH-0218S,25423,2212,605
4,order103,NJYH-0218S,25949,2212,605
4,order103,NJYH-0218SD,25474,749,325
4,order103,NJYH-0218SD,26525,749,325
4,order103,NJYH-0218SD,29105,749,325
4,order103,NJYH-0218SD,25580,748,338.5
4,order103,NJYH-0218SD,28421,749,338.5
4,order103,NJYH-0218SD,25525,852.5,388.5
4,order103,NJYH-0218SD,27722,852.5,388.5
4,order103,NJYH-0218SD,24909,749,429
4,order103,NJYH-0218SD,28640,749,429
4,order103,NJYH-0218SD,25316,2212,430
4,order103,NJYH-0218SD,26601,2252,430
16,order104,YSH-0215S,1126,250,92.5
16,order104,YSH-0215S,1541,250,92.5
16,order104,YSH-0215S,1346,438,118
16,order104,YSH-0215S,1929,438,118
16,order104,YSH-0215S,3423,438,118
16,order104,YSH-0215S,3714,438,118
16,order104,YSH-0215S,1585,605,132.5
16,order104,YSH-0215S,3698,605,132.5
16,order104,YSH-0215S,1309,388,158
16,order104,YSH-0215S,2335,388,158
16,order104,YSH-0215S,3855,388,158
16,order104,YSH-0215S,4657,388,158
16,order104,YSH-0215S,563,439,251
16,order104,YSH-0215S,1151,439,251
16,order104,YSH-0215S,2916,2053,372
16,order104,YSH-0215S,3082,398,372
16,order104,YSH-0215S,1626,606,389
16,order104,YSH-0215S,4364,606,389
16,order104,YSH-0215S,2956,779,398
16,order104,YSH-0215S,4137,770,398
16,order104,YSH-0215S,1975,762,399.5
16,order104,YSH-0215S,3548,2051,762
16,order104,YSH-0215S,3926,2053,770
16,order104,YSH-0215S,2336,2053,779
16,order104,YSH-0218S,1082,395,48
16,order104,YSH-0218S,1874,395,48
16,order104,YSH-0218S,2810,375,48
16,order104,YSH-0218S,2986,395,48
16,order104,YSH-0218S,3540,375,48
16,order104,YSH-0218S,3763,395,48
16,order104,YSH-0218S,2715,322,181.5
16,order104,YSH-0218S,4282,322,181.5
16,order104,YSH-0218S,2685,677,191.5
16,order104,YSH-0218S,4550,677,191.5
16,order104,YSH-0218S,1785,538,371
16,order104,YSH-0218S,908,536,372
16,order104,YSH-0218S,1074,536,374
16,order104,YSH-0218S,2053,536,374
16,order104,YSH-0218S,4583,536,374
16,order104,YSH-0218S,994,483,375
16,order104,YSH-0218S,2508,461,375
16,order104,YSH-0218S,3628,425,375
16,order104,YSH-0218S,1479,405,395
16,order104,YSH-0218S,1974,405,395
16,order104,YSH-0218S,843,557,398
16,order104,YSH-0218S,3158,557,398
16,order104,YSH-0218S,636,762,462
16,order104,YSH-0218S,3071,762,516
16,order104,YSH-0218S,782,1655,536
16,order104,YSH-0218S,2000,770,536
16,order104,YSH-0218S,3252,779,536
16,order104,YSH-0218S,1903,1961,555
16,order104,YSH-0218S,2729,2053,557
16,order104,YSH-0218S,3918,2053,557
16,order104,YSH-0218SD,300,2054,58
16,order104,YSH-0218SD,573,762,58
16,order104,YSH-0218SD,632,2057,58
16,order104,YSH-0218SD,835,762,58
16,order104,YSH-0218SD,1354,1961,58
16,order104,YSH-0218SD,1742,575,58
16,order104,YSH-0218SD,2944,1961,58
16,order104,YSH-0218SD,3917,893,58
16,order104,YSH-0218SD,48,873,78
16,order104,YSH-0218SD,251,555,78
16,order104,YSH-0218SD,1996,2037,78
16,order104,YSH-0218SD,3137,2034,78
16,order104,YSH-0218SD,2319,522,396
16,order104,YSH-0218SD,4344,1977,396
16,order104,YSH-0218SD,677,538,418
16,order104,YSH-0218SD,2049,538,418
16,order104,YSH-0218SD,25,762,535
16,order104,YSH-0218SD,3080,762,535
16,order104,YSH-0218SD,589,762,537
16,order104,YSH-0218SD,3547,2148,538
16,order104,YSH-0218SD,4117,2148,538
16,order104,YSH-0218SD,516,1961,555
16,order104,YSH-0218SD,2771,1961,557
9,order105,YSH-0215S,117,572,98
9,order105,YSH-0215S,4588,1101,572
9,order105,YSH-0215S,539,1439.5,752
9,order105,YSH-0215S,1435,1101,752
9,order105,YSH-0218S,2790,751,310
9,order105,YSH-0218S,3029,751,310
9,order105,YSH-0218S,3251,751,310
9,order105,YSH-0218S,3482,751,310
9,order105,YSH-0218S,4582,751,310
9,order105,YSH-0218S,2406,1198,330
9,order105,YSH-0218S,3005,1198,330
9,order105,YSH-0218S,2724,810,571
9,order105,YSH-0218S,4004,810,571
9,order105,YSH-0218S,73,1198,830
9,order105,YSH-0218S,2181,1198,830
9,order105,YSH-0218SD,237,572,58
9,order105,YSH-0218SD,2131,572,58
9,order105,YSH-0218SD,2525,1478,58
9,order105,YSH-0218SD,2574,752,58
9,order105,YSH-0218SD,3115,752,58
9,order105,YSH-0218SD,3984,1458,58
9,order105,YSH-0218SD,1970,1134,300
9,order105,YSH-0218SD,4405,1134,300
9,order105,YSH-0218SD,4477,1454.5,300
9,order105,YSH-0218SD,4589,1454.5,300
9,order105,YSH-0218SD,790,752,329
9,order105,YSH-0218SD,1416,752,329
9,order105,YSH-0218SD,3224,752,329
9,order105,YSH-0218SD,993,1458,330
9,order105,YSH-0218SD,2755,1458,330
9,order105,YSH-0218SD,189,1454.5,390
9,order105,YSH-0218SD,1741,1134,390
9,order105,YSH-0218SD,2407,1134,390
9,order105,YSH-0218SD,3223,1454.5,390
9,order105,YSH-0218SD,3215,829,572
9,order105,YSH-0218SD,4531,829,572
9,order105,YSH-0218SD,4610,829,572
9,order105,YSH-0218SD,194,1458,830
9,order105,YSH-0218SD,362,1458,830
8,order106,HT9-0215S,4581,704,92.5
8,order106,HT9-0215S,188,438,118
8,order106,HT9-0215S,229,438,118
8,order106,HT9-0215S,2223,705,439
8,order106,HT9-0215S,3889,861,498
8,order106,HT9-0215S,4404,861,498
8,order106,HT9-0215S,1294,1762,861
8,order106,HT9-0215S,1580,1762,861
8,order106,HT9-0218S,652,698,38
8,order106,HT9-0218S,2270,698,38
8,order106,HT9-0218S,3385,2098,38
8,order106,HT9-0218S,2559,181,48
8,order106,HT9-0218S,3028,181,48
8,order106,HT9-0218S,3321,181,48
8,order106,HT9-0218S,4129,181,48
8,order106,HT9-0218S,417,861,58
8,order106,HT9-0218S,1600,861,58
8,order106,HT9-0218S,2594,861,58
8,order106,HT9-0218S,2964,861,58
8,order106,HT9-0218S,2622,776,178
8,order106,HT9-0218S,1142,445,181
8,order106,HT9-0218S,4319,445,181
8,order106,HT9-0218S,1636,861,508
8,order106,HT9-0218S,521,861,575
8,order106,HT9-0218S,955,861,575
8,order106,HT9-0218S,2385,861,575
8,order106,HT9-0218S,3021,861,575
8,order106,HT9-0218S,1668,861,577
8,order106,HT9-0218S,2754,861,577
8,order106,HT9-0218S,972,2377,578
8,order106,HT9-0218S,16,2377,598
8,order106,HT9-0218S,1415,2377,598
8,order106,PKQL-0418S,559,2312,429.2
8,order106,PKQL-0418S,2523,2312,429.2
8,order106,PKQL-0418S,2524,2312,429.2
8,order106,PKQL-0418S,3470,2312,429.2
6,order107,MNH-0215S,5808,2301,971
6,order107,MNH-0215S,6936,2301,971
6,order107,MNH-0218S,4925,971,58
6,order107,MNH-0218S,6574,971,58
6,order107,MNH-0218S,6817,971,58
6,order107,MNH-0218S,7272,971,58
6,order107,MNH-0218S,6081,536,474.5
6,order107,MNH-0218S,6212,536,474.5
6,order107,MNH-0218S,6339,536,474.5
6,order107,MNH-0218S,6382,536,474.5
6,order107,MNH-0218S,4703,971,536
6,order107,MNH-0218S,4727,1833,536
6,order107,MNH-0218S,7772,971,536
6,order107,MNH-0218S,6101,971,555
6,order107,MNH-0218S,7365,971,555
6,order107,MNH-0218S,6330,971,557
6,order107,MNH-0218S,7577,971,557
6,order107,MNH-0218S,6129,2398,558
6,order107,MNH-0218S,6925,2398,558
6,order107,MNH-0218S,7924,2398,558
5,order108,5-0218SD,5143,2431,419
5,order108,5-0218SD,6499,2431,419
5,order108,5-0218SD,8108,2431,444
5,order108,5-0218SD,8203,2431,444
5,order108,MNH-0215S,5448,2398,871
5,order108,MNH-0215S,8204,2398,871
5,order108,MNH-0218S,5330,871,58
5,order108,MNH-0218S,6287,871,58
5,order108,MNH-0218S,7508,871,58
5,order108,MNH-0218S,8087,871,58
5,order108,MNH-0218S,7075,964,536
5,order108,MNH-0218SD,6275,536,425.5
5,order108,MNH-0218SD,7715,536,425.5
5,order108,MNH-0218SD,7787,536,425.5
5,order108,MNH-0218SD,5828,871,536
5,order108,MNH-0218SD,6559,871,536
5,order108,MNH-0218SD,8247,871,536
5,order108,MNH-0218SD,7384,871,555
5,order108,MNH-0218SD,8326,871,555
5,order108,MNH-0218SD,5023,871,557
5,order108,MNH-0218SD,8349,871,557
2,order109,MNH-0215S,6924,2001,355
2,order109,MNH-0218S,6693,933.5,58
2,order109,MNH-0218S,8310,1111,58
2,order109,MNH-0218S,5712,2098,129.5
2,order109,MNH-0218S,6286,410,355
2,order109,MNH-0218S,6471,410,355
2,order109,MNH-0218S,6911,410,355
2,order109,MNH-0218S,7159,410,355
2,order109,MNH-0218S,4972,1111,429
2,order109,MNH-0218S,6790,1111,429
2,order109,MNH-0218S,6948,736,429
2,order109,MNH-0218S,7981,2001,429
2,order109,MNH-0218S,5691,2098,430
2,order109,XXB-0218S,8472,2398,98
2,order109,XXB-0218S,5102,2034,377.5
2,order109,XXB-0218S,6663,2034,377.5
2,order109,XXB-0218S,8170,2034,379
2,order109,XXB-0225S,5741,2398,298
4,order11,LMW-0215S,25174,1212,158
4,order11,LMW-0215S,26564,1212,398
4,order11,LMW-0215S,28232,1212,769
4,order11,LMW-0215S,26298,1212,833.5
4,order11,LMW-0218S,25845,2278,38
4,order11,LMW-0218S,26177,1248,38
4,order11,LMW-0218S,28648,2278,38
4,order11,LMW-0218S,26739,398,98
4,order11,LMW-0218S,25089,802.5,358
4,order11,LMW-0218S,25287,387.5,358
4,order11,LMW-0218S,25589,387.5,358
4,order11,LMW-0218S,25993,802.5,358
4,order11,LMW-0218S,27203,769,358
4,order11,LMW-0218S,27785,802.5,358
4,order11,LMW-0218S,28104,802.5,358
4,order11,LMW-0218S,28338,833.5,358
4,order11,LMW-0218S,28647,387.5,358
4,order11,LMW-0218S,25272,1212,377
4,order11,LMW-0218S,25335,1212,377
4,order11,LMW-0218S,26163,1212,377
4,order11,LMW-0218S,27240,1212,377
4,order11,LMW-0218S,24889,2238,378
4,order11,LMW-0218S,26474,2238,378
4,order11,YSH-0218S,27322,866.5,411.3
4,order11,YSH-0218S,27567,802,411.3
4,order11,YSH-0218S,28352,802,411.3
4,order11,YSH-0218S,28898,866.5,411.3
4,order11,YSH-0218S,26052,866.5,412.5
4,order11,YSH-0218S,27764,802,412.5
3,order110,XXB-0215S,20362,373,92.5
3,order110,XXB-0215S,20816,373,92.5
3,order110,XXB-0215S,22501,373,92.5
3,order110,XXB-0215S,20665,488,118
3,order110,XXB-0215S,21198,488,118
3,order110,XXB-0215S,21273,488,118
3,order110,XXB-0215S,21715,488,118
3,order110,XXB-0215S,23184,488,118
