P,item_order,item_material,item_id,max_length,min_length
1,order1,PGBL-0418S,10426,406.5,333
1,order1,PGBL-0418S,11099,406.5,333
1,order1,YDH-0218S,12436,823,38
1,order1,YDH-0218S,9215,787,301
1,order1,YDH-0218S,10006,787,328
1,order1,YDH-0218S,11889,787,328
1,order1,YDH-0218S,9397,377.5,329
1,order1,YDH-0218S,10372,377.5,329
23,order10,FMB-0215S,7052,1048,346.5
23,order10,FMB-0215S,7523,1048,648
23,order10,FMB-0215S,8103,1027,772
23,order10,FMB-0215S,4901,2161,821
23,order10,FMB-0215S,6136,2161,821
23,order10,FMB-0218S,4912,1823,38
23,order10,FMB-0218S,6396,773,38
23,order10,FMB-0218S,7826,629,38
23,order10,FMB-0218S,5411,445,48
23,order10,FMB-0218S,5820,445,48
23,order10,FMB-0218S,7489,445,48
23,order10,FMB-0218S,8061,445,48
23,order10,FMB-0218S,6207,821,58
23,order10,FMB-0218S,6417,821,58
23,order10,FMB-0218S,6862,821,58
23,order10,FMB-0218S,7286,821,58
23,order10,FMB-0218S,5545,557,118
23,order10,FMB-0218S,5713,346.5,278
23,order10,FMB-0218S,7397,560,399.5
23,order10,FMB-0218S,6328,447,445
23,order10,FMB-0218S,7053,447,445
23,order10,FMB-0218S,7634,821,505
23,order10,FMB-0218S,8321,1027,537
23,order10,FMB-0218S,4924,821,560
23,order10,FMB-0218S,5637,820,560
23,order10,FMB-0218S,7742,826,560
23,order10,FMB-0218S,8027,820,560
23,order10,FMB-0218S,4866,821,579
23,order10,FMB-0218S,7168,821,579
23,order10,FMB-0218S,7722,821,579
23,order10,FMB-0218S,8496,821,579
23,order10,FMB-0218S,4706,2258,580
23,order10,FMB-0218S,6653,2258,580
23,order10,FMB-0218S,6954,2258,580
23,order10,FMB-0218SD,6374,2278,58
23,order10,FMB-0218SD,5488,2258,73
23,order10,FMB-0225S,5077,1048,297
23,order10,FMB-0225S,8229,1048,297
23,order10,FMB-0225S,6086,1047,298
23,order10,FMB-0225S,6113,1047,298
23,order10,FMB-0225S,5410,772,597
23,order10,FMB-0225S,5519,772,597
23,order10,FMB-0225S,6323,1098,598
23,order10,YMH-0215S,6546,446.5,52.5
23,order10,YMH-0215S,7934,446.5,52.5
23,order10,YMH-0215S,4518,438,78
23,order10,YMH-0215S,4692,438,78
23,order10,YMH-0215S,4885,438,78
23,order10,YMH-0215S,7027,438,78
23,order10,YMH-0215S,8003,664,132.5
23,order10,YMH-0215S,8629,664,132.5
23,order10,YMH-0215S,4987,438,158
23,order10,YMH-0215S,6462,438,158
23,order10,YMH-0215S,6684,438,158
23,order10,YMH-0215S,6714,438,158
23,order10,YMH-0215S,7042,665,439
23,order10,YMH-0215S,7428,447.5,439
23,order10,YMH-0215S,7706,665,439
23,order10,YMH-0215S,8124,447.5,439
23,order10,YMH-0218S,4735,508,131.5
23,order10,YMH-0218S,7090,508,131.5
23,order10,YMH-0218S,6766,736,218.5
23,order10,YMH-0218S,8230,736,218.5
23,order10,YMH-0218S,4457,2194,394
23,order10,YMH-0218S,7715,2194,394
23,order10,YMH-0218S,4736,2194,419
23,order10,YMH-0218S,5093,2194,419
20,order100,5-0215S,30038,570,394.5
20,order100,5-0215S,28861,2362,519.5
20,order100,5-0215S,30125,898,693.5
20,order100,5-0215S,29499,898,702.5
20,order100,5-0215S,29327,926,898
20,order100,5-0215S,28182,2362,1183
20,order100,5-0218S,26617,2362,58
20,order100,5-0218S,27806,2362,58
20,order100,5-0218S,28136,570,58
20,order100,5-0218S,28246,570,58
20,order100,5-0218S,28767,408,299
20,order100,5-0218S,28955,408,299
20,order100,5-0218S,25220,383,358
20,order100,5-0218S,25394,519.5,358
20,order100,5-0218S,25730,380,358
20,order100,5-0218S,25847,380,358
20,order100,5-0218S,25872,380,358
20,order100,5-0218S,26341,701.5,358
20,order100,5-0218S,26421,2362,358
20,order100,5-0218S,26508,383,358
20,order100,5-0218S,26765,380,358
20,order100,5-0218S,27469,380,358
20,order100,5-0218S,27695,2362,358
20,order100,5-0218S,28265,380,358
20,order100,5-0218S,29424,519.5,358
20,order100,5-0218S,29704,383,358
20,order100,5-0218S,29822,692.5,358
20,order100,5-0218S,25871,898,377
20,order100,5-0218S,27121,898,377
20,order100,5-0218S,29042,2362,377
20,order100,5-0218S,29575,2362,377
20,order100,5-0218S,29619,2362,377
20,order100,5-0218S,30108,2362,377
20,order100,5-0218S,25806,538,378
20,order100,5-0218S,26598,538,378
20,order100,5-0218S,27550,2198,378
20,order100,5-0218S,28892,2198,378
20,order100,5-0218S,27395,508,473
20,order100,5-0218S,27839,508,473
20,order100,5-0218S,25363,570,507
20,order100,5-0218SD,25542,397,58
20,order100,5-0218SD,26141,2398,58
20,order100,5-0218SD,29148,2418,58
20,order100,5-0218SD,29472,377,58
20,order100,5-0218SD,29691,397,58
20,order100,5-0218SD,29821,377,58
20,order100,5-0225S,29187,608,528
20,order100,PGBL-0418S,26858,930,355.3
20,order100,PGBL-0418S,27361,930,355.3
20,order100,PGBL-0418S,28203,930,355.3
20,order100,PGBL-0418S,28313,930,355.3
20,order100,PGBL-0418S,25106,533.5,394
20,order100,PGBL-0418S,26042,533.5,394
20,order100,PGBL-0418S,26675,533.5,394
20,order100,PGBL-0418S,26857,533.5,394
20,order100,PGBL-0418S,27145,533.5,394
20,order100,PGBL-0418S,27247,533.5,394
20,order100,PGBL-0418S,25107,930,471.5
20,order100,PGBL-0418S,26747,930,471.5
9,order101,XXB-0218S,11195,543,358
9,order101,XXB-0218S,10627,545,491
9,order101,XXB-0218S,10552,875.5,541.5
9,order101,XXB-0218S,12087,875.5,541.5
9,order101,XXB-0218S,11898,994.5,542.5
9,order101,XXB-0218S,11907,994.5,542.5
9,order101,XXB-0218SD,9162,1763,58
9,order101,XXB-0218SD,9056,1743,63
9,order101,YW1-0215S,10235,510,344.5
9,order101,YW1-0215S,11543,1057,398
9,order101,YW1-0215S,12613,2029.5,512
9,order101,YW1-0215S,9348,1057,961.5
9,order101,YW1-0215S,12702,1080,1055
9,order101,YW1-0218S,11549,510,58
9,order101,YW1-0218S,11588,510,58
9,order101,YW1-0218S,11165,512,88
9,order101,YW1-0218S,8907,1055,298
9,order101,YW1-0218S,9823,510,298
9,order101,YW1-0218S,11094,1055,298
9,order101,YW1-0218S,11970,1055,298
9,order101,YW1-0218S,12199,1055,298
9,order101,YW1-0218S,8968,1057,318
9,order101,YW1-0218S,9296,1080,318
9,order101,YW1-0218S,10775,423,318
9,order101,YW1-0218S,12289,1080,318
9,order101,YW1-0218S,12367,1057,318
9,order101,YW1-0218S,12489,1057,318
9,order101,YW1-0218S,12610,423,318
9,order101,YW1-0218S,12761,512,318
9,order101,YW1-0218S,11030,512,337
9,order101,YW1-0218S,12952,1057,337
9,order101,YW1-0218S,12446,2048,338
9,order101,YW1-0218S,12586,2048,338
9,order101,YW1-0218SD,12086,457,58
9,order101,YW1-0218SD,12383,437,58
9,order101,YW1-0218SD,11734,510,317
9,order101,YW1-0218SD,13011,1057,337
9,order101,YW1-0218SD,9164,1398,338
9,order101,YW1-0218SD,10436,1093,338
9,order101,YW1-0218SD,11201,1398,338
9,order101,YW1-0225SD,12322,548,338
3,order102,XXB-0218S,10490,1031,465
3,order102,XXB-0218S,12188,1031,465
3,order102,YW1-0215S,10722,2301,902
3,order102,YW1-0218S,11830,902,58
3,order102,YW1-0218S,12653,902,58
