P,item_order,item_material,item_id,max_length,min_length
17,order1,QKQ-0215S,2387,790,80
17,order1,QKQ-0215S,3149,760,80
17,order1,QKQ-0215S,588,603,98
17,order1,QKQ-0215S,3674,603,98
17,order1,QKQ-0215S,1348,635,337
17,order1,QKQ-0215S,2290,1013.5,562
17,order1,QKQ-0215S,3957,1207.5,562
17,order1,QKQ-0215S,3483,1202,635
17,order1,QKQ-0218S,224,598,38
17,order1,QKQ-0218S,340,479,38
17,order1,QKQ-0218S,566,674,38
17,order1,QKQ-0218S,609,828,38
17,order1,QKQ-0218S,1018,678,38
17,order1,QKQ-0218S,1087,834,38
17,order1,QKQ-0218S,1496,337,38
17,order1,QKQ-0218S,1672,479,38
17,order1,QKQ-0218S,2902,1306,38
17,order1,QKQ-0218S,2956,798,38
17,order1,QKQ-0218S,3217,638,38
17,order1,QKQ-0218S,3969,508,38
17,order1,QKQ-0218S,4124,1742,38
17,order1,QKQ-0218S,3359,602,48
17,order1,QKQ-0218S,301,562,58
17,order1,QKQ-0218S,2031,562,58
17,order1,QKQ-0218S,3685,655,68
17,order1,QKQ-0218S,646,788,78
17,order1,QKQ-0218S,766,1061,98
17,order1,QKQ-0218S,1079,1491,98
17,order1,QKQ-0218S,1111,1491,98
17,order1,QKQ-0218S,2078,1491,98
17,order1,QKQ-0218S,1264,788,138
17,order1,QKQ-0218S,3728,788,138
17,order1,QKQ-0218S,5,788,178
17,order1,QKQ-0218S,240,834.5,222.5
17,order1,QKQ-0218S,1628,834.5,222.5
17,order1,QKQ-0218S,2191,399,222.5
17,order1,QKQ-0218S,3771,834.5,222.5
17,order1,QKQ-0218S,1004,875,238
17,order1,QKQ-0218S,1,835.5,242
17,order1,QKQ-0218S,377,835.5,242
17,order1,QKQ-0218S,713,835.5,242
17,order1,QKQ-0218S,938,835.5,242
17,order1,QKQ-0218S,1701,835.5,242
17,order1,QKQ-0218S,2084,835.5,242
17,order1,QKQ-0218S,2972,400,242
17,order1,QKQ-0218S,4119,400,242
17,order1,QKQ-0218S,818,758,243
17,order1,QKQ-0218S,1752,758,243
17,order1,QKQ-0218S,1936,758,243
17,order1,QKQ-0218S,2219,758,243
17,order1,QKQ-0218S,2340,758,243
17,order1,QKQ-0218S,2548,758,243
17,order1,QKQ-0218S,3002,758,243
17,order1,QKQ-0218S,3450,758,243
17,order1,QKQ-0218S,824,641,283.5
17,order1,QKQ-0218S,1699,1046.5,295
17,order1,QKQ-0218S,3291,1046.5,295
17,order1,QKQ-0218S,1703,642,303
17,order1,QKQ-0218S,3382,642,303
17,order1,QKQ-0218S,1136,758,304
17,order1,QKQ-0218S,1281,758,304
17,order1,QKQ-0218S,2208,754,335
17,order1,QKQ-0218S,2732,754,335
17,order1,QKQ-0218S,1152,460,336
