原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
YW10-0218S,0,69,0,0,1063.0,1981.0
YW10-0218S,0,517,0,1981.0,834.0,454.0
YW10-0218S,0,600,1063.0,0,153.5,538.0
YW10-0218S,0,76,1063.0,538.0,153.0,898.0
YW10-0218S,0,519,1063.0,1436.0,151.5,444.0
YW10-0218S,0,163,1063.0,1880.0,151.5,414.0
YW10-0218S,1,494,0,0,1007.0,1797.0
YW10-0218S,1,301,0,1797.0,651.0,610.0
YW10-0218S,1,737,1007.0,0,212.5,672.0
YW10-0218S,1,205,1007.0,672.0,198.5,743.0
YW10-0218S,1,743,1007.0,1415.0,198.0,536.0
YW10-0218S,1,285,1007.0,1951.0,198.0,488.0
YW10-0218S,2,531,0,0,984.0,1013.0
YW10-0218S,2,94,0,1013.0,930.0,1121.0
YW10-0218S,2,618,0,2134.0,762.0,297.0
YW10-0218S,2,61,984.0,0,218.0,2367.0
YW10-0218S,3,741,0,0,956.0,2251.0
YW10-0218S,3,668,0,2251.0,604.0,160.0
YW10-0218S,3,463,956.0,0,261.5,907.5
YW10-0218S,3,29,956.0,907.5,261.5,907.5
YW10-0218S,3,410,956.0,1815.0,259.0,400.0
YW10-0218S,4,269,0,0,912.0,2251.0
YW10-0218S,4,482,0,2251.0,779.0,168.0
YW10-0218S,4,677,912.0,0,308.0,862.0
YW10-0218S,4,626,912.0,862.0,308.0,719.0
YW10-0218S,4,509,912.0,1581.0,308.0,483.0
YW10-0218S,4,439,912.0,2064.0,308.0,370.0
YW10-0218S,5,314,0,0,904.0,2101.0
YW10-0218S,5,565,0,2101.0,704.0,329.0
YW10-0218S,5,758,904.0,0,311.0,2334.5
YW10-0218S,6,645,0,0,882.0,1120.5
YW10-0218S,6,72,0,1120.5,866.0,998.0
YW10-0218S,6,688,0,2118.5,802.0,318.0
YW10-0218S,6,66,882.0,0,337.0,1755.0
YW10-0218S,6,406,882.0,1755.0,330.0,598.0
YW10-0218S,7,644,0,0,882.0,1638.5
YW10-0218S,7,321,0,1638.5,811.0,761.0
YW10-0218S,7,729,0,2399.5,625.0,38.0
YW10-0218S,7,730,882.0,0,330.0,2298.0
YW10-0218S,8,431,0,0,871.0,2001.0
YW10-0218S,8,349,0,2001.0,777.0,435.0
YW10-0218S,8,686,871.0,0,348.0,1128.0
YW10-0218S,8,620,871.0,1128.0,348.0,631.0
YW10-0218S,8,365,871.0,1759.0,348.0,373.5
YW10-0218S,8,234,871.0,2132.5,312.0,277.0
YW10-0218S,9,460,0,0,821.0,1901.0
YW10-0218S,9,79,0,1901.0,578.0,530.0
YW10-0218S,9,391,821.0,0,398.0,1658.0
YW10-0218S,9,204,821.0,1658.0,398.0,521.0
YW10-0218S,9,456,821.0,2179.0,370.0,227.0
YW10-0218S,10,544,0,0,812.0,2251.0
YW10-0218S,10,682,0,2251.0,701.5,167.0
YW10-0218S,10,187,812.0,0,402.0,921.0
YW10-0218S,10,594,812.0,921.0,401.5,760.0
YW10-0218S,10,725,812.0,1681.0,400.0,536.0
YW10-0218S,10,652,812.0,2217.0,382.0,160.5
YW10-0218S,10,312,812.0,2377.5,380.0,58.0
YW10-0218S,11,535,0,0,801.0,2001.0
YW10-0218S,11,717,0,2001.0,798.0,439.0
YW10-0218S,11,573,801.0,0,419.0,2081.0
YW10-0218S,11,755,801.0,2081.0,373.5,348.0
YW10-0218S,12,390,0,0,787.0,898.0
YW10-0218S,12,305,0,898.0,761.0,867.0
YW10-0218S,12,587,0,1765.0,717.0,644.0
YW10-0218S,12,568,787.0,0,431.0,738.5
YW10-0218S,12,510,787.0,738.5,431.0,767.0
YW10-0218S,12,580,787.0,1505.5,430.0,460.0
YW10-0218S,12,173,787.0,1965.5,418.0,464.0
YW10-0218S,13,727,0,0,771.0,1931.0
YW10-0218S,13,166,0,1931.0,710.0,508.0
YW10-0218S,13,701,771.0,0,448.0,898.0
YW10-0218S,13,616,771.0,898.0,448.0,898.0
YW10-0218S,13,420,771.0,1796.0,448.0,503.0
YW10-0218S,13,413,771.0,2299.0,438.0,98.0
YW10-0218S,14,427,0,0,762.0,2251.0
