批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
32,XMJQ-0215S,0,30228,0,0,839.0,2081.0
32,XMJQ-0215S,1,30178,0,0,839.0,2081.0
32,XMJQ-0215S,2,31945,0,0,642.0,895.0
32,XMJQ-0215S,2,31371,0,895.0,640.0,839.0
32,XMJQ-0215S,2,31908,0,1734.0,640.0,405.0
32,XMJQ-0215S,2,28860,642.0,0,405.0,2081.0
32,XMJQ-0215S,3,29570,0,0,640.0,839.0
32,XMJQ-0215S,3,32188,0,839.0,640.0,396.0
32,XMJQ-0215S,3,27710,0,1235.0,368.0,895.0
32,XMJQ-0215S,3,32348,640.0,0,396.0,2081.0
32,XXB-0218S,0,31341,0,0,558.0,1768.0
32,XXB-0218S,0,26325,0,1768.0,424.5,420.0
32,XXB-0218S,0,22782,0,2188.0,352.0,213.5
32,XXB-0218S,0,31151,558.0,0,558.0,1768.0
32,XXB-0218S,0,30128,558.0,1768.0,557.0,352.0
32,XXB-0218S,1,26168,0,0,420.0,1607.0
32,XXB-0218S,1,25849,0,1607.0,420.0,424.5
32,XXB-0218S,1,24691,0,2031.5,420.0,322.0
32,XXB-0218S,1,25042,420.0,0,420.0,1607.0
32,XXB-0218S,1,24673,420.0,1607.0,420.0,424.5
32,XXB-0218S,1,24674,420.0,2031.5,420.0,322.0
32,XXB-0218S,1,26075,840.0,0,359.0,1748.5
32,XXB-0218S,1,26213,840.0,1748.5,352.0,669.0
32,XXB-0218S,2,24447,0,0,420.0,1607.0
32,XXB-0218S,2,24282,0,1607.0,420.0,424.5
32,XXB-0218S,2,26154,0,2031.5,352.0,213.5
32,XXB-0218S,2,31870,0,2245.0,352.0,58.0
32,XXB-0218S,2,31711,0,2303.0,352.0,58.0
32,XXB-0218S,2,22942,420.0,0,420.0,1607.0
32,XXB-0218S,2,29875,420.0,1607.0,352.0,557.0
32,XXB-0218S,2,24559,420.0,2164.0,352.0,214.5
32,XXB-0218S,2,31210,840.0,0,351.0,538.0
32,XXB-0218S,2,31077,840.0,538.0,351.0,538.0
32,XXB-0218S,2,28694,840.0,1076.0,351.0,538.0
32,XXB-0218S,2,27788,840.0,1614.0,351.0,538.0
32,XXB-0218S,2,26801,840.0,2152.0,344.0,172.0
32,XXB-0218S,3,30792,0,0,385.0,1704.0
32,XXB-0218S,3,25208,0,1704.0,352.0,669.0
32,XXB-0218S,3,23131,385.0,0,344.0,2187.0
32,XXB-0218S,3,22752,729.0,0,334.0,1748.5
32,XXB-0218S,3,24026,729.0,1748.5,172.0,684.0
32,XXB-0218S,4,22708,0,0,334.0,1748.5
32,XXB-0218S,4,26946,334.0,0,163.0,845.0
32,XXB-0218S,4,24468,334.0,845.0,154.0,845.0
32,GDMY-0218S,0,24489,0,0,880.0,1998.0
32,GDMY-0218S,0,24229,0,1998.0,880.0,427.0
32,GDMY-0218S,0,27253,880.0,0,327.0,878.0
32,GDMY-0218S,0,25227,880.0,878.0,327.0,878.0
32,GDMY-0218S,0,23763,880.0,1756.0,320.0,558.0
