批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
30,GDMY-0215S,0,25810,0,0,1171.0,2001.0
30,GDMY-0218S,0,24248,0,2001.0,1160.0,407.0
30,GDMY-0218S,0,25566,1171.0,0,38.0,2038.0
30,GDMY-0215S,1,24151,0,0,771.0,2001.0
30,GDMY-0218S,1,26855,0,2001.0,592.0,409.0
30,GDMY-0225S,1,23145,771.0,0,449.0,1299.0
30,GDMY-0215S,1,23461,771.0,1299.0,449.0,624.0
30,GDMY-0218S,1,27072,771.0,1923.0,445.0,504.0
30,SRBW-0218S,2,23515,0,0,578.0,638.5
30,GDMY-0218S,2,25959,0,638.5,578.0,578.5
30,GDMY-0218S,2,24569,0,1217.0,578.0,578.5
30,GDMY-0218S,2,23412,0,1795.5,578.0,578.5
30,SRBW-0218SD,2,24501,0,2374.0,560.0,58.0
30,GDMY-0218SD,2,25923,578.0,0,578.0,2098.0
30,GDMY-0215S,2,24773,578.0,2098.0,536.0,239.0
30,GDMY-0215S,2,25916,578.0,2337.0,522.0,92.5
30,SRBW-0218SD,2,26577,1156.0,0,58.0,2318.0
30,GDMY-0218SD,3,23176,0,0,578.0,2098.0
30,SRBW-0218S,3,23403,0,2098.0,575.0,250.0
30,GDMY-0215S,3,25948,0,2348.0,535.0,52.5
30,GDMY-0218SD,3,26697,578.0,0,577.0,2001.0
30,GDMY-0218S,3,24366,578.0,2001.0,553.5,428.0
30,SRBW-0218SD,3,22721,1155.0,0,58.0,2298.0
30,GDMY-0218S,4,25607,0,0,577.0,771.0
30,GDMY-0218S,4,24533,0,771.0,577.0,626.0
30,GDMY-0218S,4,23411,0,1397.0,577.0,780.0
30,SRBW-0218S,4,23554,0,2177.0,560.0,252.0
30,GDMY-0218S,4,25381,577.0,0,577.0,1962.0
30,GDMY-0218S,4,25619,577.0,1962.0,504.0,445.0
30,GDMY-0218SD,4,27113,1154.0,0,58.0,1160.0
30,GDMY-0218SD,4,25103,1154.0,1160.0,58.0,1160.0
30,GDMY-0218S,5,23726,0,0,577.0,1962.0
30,SRBW-0218S,5,27258,0,1962.0,575.0,395.0
30,SRBW-0218SD,5,24460,0,2357.0,560.0,58.0
30,SRBW-0215S,5,24520,577.0,0,560.0,2001.0
30,SRBW-0218S,5,26921,577.0,2001.0,543.0,395.0
30,GDMY-0218S,5,24600,1137.0,0,78.0,592.0
30,GDMY-0218S,5,24240,1137.0,592.0,78.0,592.0
30,GDMY-0218S,5,23371,1137.0,1184.0,78.0,592.0
30,GDMY-0218S,5,23044,1137.0,1776.0,78.0,592.0
30,GDMY-0215S,6,27213,0,0,560.0,771.0
30,GDMY-0215S,6,25257,0,771.0,560.0,626.0
30,GDMY-0215S,6,23311,0,1397.0,560.0,780.0
30,SRBW-0218S,6,24853,0,2177.0,560.0,252.0
30,GDMY-0218SD,6,26768,560.0,0,558.0,2001.0
30,GDMY-0218S,6,25752,560.0,2001.0,553.5,428.0
30,GDMY-0218SD,6,26301,1118.0,0,58.0,1962.0
30,GDMY-0218S,6,25541,1176.0,0,38.0,570.0
30,GDMY-0218S,6,25519,1176.0,570.0,38.0,570.0
30,GDMY-0218S,6,23590,1176.0,1140.0,38.0,570.0
30,GDMY-0218S,6,23372,1176.0,1710.0,38.0,570.0
30,GDMY-0218S,7,26851,0,0,558.0,626.0
30,GDMY-0218S,7,25712,0,626.0,558.0,771.0
30,GDMY-0218S,7,25306,0,1397.0,558.0,780.0
