批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
3,YSH-0215S,0,4156,0,0,647.0,741.5
3,YSH-0218S,0,749,0,741.5,647.0,562.0
3,YSH-0218S,0,2775,0,1303.5,541.0,778.0
3,YSH-0218S,0,313,0,2081.5,512.0,245.0
3,YSH-0218SD,0,3059,0,2326.5,512.0,58.0
3,YSH-0218S,0,2588,647.0,0,563.0,1878.0
3,YSH-0215S,0,989,647.0,1878.0,512.0,198.0
3,YSH-0218SD,0,1908,647.0,2076.0,512.0,58.0
3,YSH-0218S,0,690,647.0,2134.0,510.0,58.0
3,YSH-0218S,1,157,0,0,563.0,1878.0
3,YSH-0218S,1,203,563.0,0,541.0,778.0
3,YSH-0218S,1,2804,563.0,778.0,540.0,647.0
3,YSH-0218S,1,428,563.0,1425.0,540.0,647.0
3,YSH-0218S,1,2858,563.0,2072.0,511.0,226.0
3,YSH-0218SD,1,4314,1104.0,0,73.0,1403.0
3,YSH-0218S,1,2281,1104.0,1403.0,58.0,647.0
3,YSH-0218S,2,5,0,0,521.0,646.0
3,YSH-0215S,2,4351,0,646.0,512.0,1181.0
3,YSH-0218S,2,2486,0,1827.0,512.0,245.0
3,YSH-0218S,2,832,0,2072.0,512.0,245.0
3,YSH-0215S,2,3633,521.0,0,512.0,759.5
3,YSH-0218S,2,4421,521.0,759.5,510.0,648.0
3,YSH-0218S,2,1040,521.0,1407.5,337.5,774.5
3,YSH-0215S,2,2399,1033.0,0,128.0,647.0
3,YSH-0215S,2,1470,1033.0,647.0,128.0,647.0
3,YSH-0215S,2,4313,1033.0,1294.0,98.0,647.0
3,YSH-0218SD,2,244,1161.0,0,58.0,1423.0
3,YSH-0218S,2,3376,1161.0,1423.0,58.0,647.0
3,YSH-0218S,3,929,0,0,337.5,774.5
3,YSH-0218S,3,3753,0,774.5,248.0,778.0
3,YSH-0218S,3,2441,0,1552.5,248.0,778.0
3,YSH-0218S,3,2831,337.5,0,248.0,1878.0
3,YSH-0218S,3,2501,585.5,0,248.0,1878.0
3,YSH-0218S,3,383,833.5,0,58.0,647.0
3,MNH-0225S,0,6450,0,0,378.0,1398.0
3,MNH-0218S,0,8139,0,1398.0,358.0,353.0
3,MNH-0218S,0,6899,0,1751.0,358.0,353.0
3,MNH-0218S,0,8588,0,2104.0,342.0,274.5
3,MNH-0225S,0,5398,378.0,0,378.0,1398.0
3,MNH-0218S,0,5601,378.0,1398.0,358.0,353.0
3,MNH-0218S,0,4721,378.0,1751.0,358.0,353.0
3,MNH-0218S,0,4995,378.0,2104.0,342.0,274.5
3,MNH-0218S,0,8342,756.0,0,342.0,1360.0
3,MNH-0215S,0,8323,756.0,1360.0,289.0,589.0
3,MNH-0215S,0,6928,756.0,1949.0,288.0,238.0
3,MNH-0215S,0,6782,756.0,2187.0,288.0,238.0
3,MNH-0218S,0,8009,1098.0,0,58.0,1360.0
3,MNH-0218S,0,7020,1156.0,0,58.0,1360.0
3,MNH-0218S,1,5885,0,0,342.0,1360.0
3,MNH-0215S,1,5996,0,1360.0,289.0,639.0
3,MNH-0215S,1,6680,0,1999.0,288.0,238.0
3,MNH-0215S,1,5886,342.0,0,289.0,639.0
3,MNH-0215S,1,5600,342.0,639.0,289.0,589.0
3,PSKQL-0418S,1,7019,342.0,1228.0,287.0,668.0
3,MNH-0215S,1,6249,342.0,1896.0,238.0,288.0
3,PSKQL-0418S,1,6829,631.0,0,287.0,718.0
3,PSKQL-0418S,1,5235,631.0,718.0,287.0,718.0
3,PSKQL-0418S,1,4776,631.0,1436.0,287.0,668.0
3,MNH-0215S,1,5973,631.0,2104.0,238.0,288.0
3,MNH-0215S,1,8082,918.0,0,274.5,645.0
3,MNH-0215S,1,7559,918.0,645.0,274.5,695.0
3,MNH-0215S,1,6295,918.0,1340.0,274.5,695.0
3,MNH-0215S,1,6297,918.0,2035.0,238.0,288.0
3,MNH-0215S,2,4706,0,0,274.5,645.0
3,MNH-0215S,2,5679,0,645.0,238.0,288.0
3,MNH-0215S,2,4739,0,933.0,238.0,288.0
3,MNH-0215S,2,7736,0,1221.0,212.5,588.0
3,MNH-0215S,2,6344,0,1809.0,212.5,588.0
3,MNH-0215S,2,7050,274.5,0,212.5,638.0
3,MNH-0215S,2,5412,274.5,638.0,212.5,638.0
3,MNH-0218S,2,5274,487.0,0,58.0,1360.0
3,MNH-0218S,2,4707,545.0,0,58.0,1360.0
3,MNH-0218S,0,7854,0,0,560.0,726.0
3,MNH-0218S,0,6771,0,726.0,560.0,1028.0
3,MNH-0218S,0,6651,0,1754.0,559.0,512.0
3,MNH-0218SD,0,5525,0,2266.0,548.0,78.0
3,MNH-0218S,0,5977,560.0,0,560.0,1028.0
